countryEnglishName,provinceEnglishName,total_confirmedCount,total_curedCount,total_deadCount,updateTime,report_date
Andorra,Andorra,88,1,0,22/03/2020 18:52,22/03/2020
Cyprus,Cyprus,84,0,1,22/03/2020 18:52,22/03/2020
Lithuania,Lithuania,83,0,1,22/03/2020 18:52,22/03/2020
Brunei,Brunei,83,2,0,22/03/2020 18:52,22/03/2020
Faroe,Faroe,80,0,0,22/03/2020 18:52,22/03/2020
Moldova,Moldova,80,1,1,22/03/2020 18:52,22/03/2020
Vietnam,Vietnam,94,17,0,22/03/2020 18:52,22/03/2020
SriLanka,SriLanka,77,1,0,22/03/2020 18:52,22/03/2020
Albania,Albania,76,0,2,22/03/2020 18:52,22/03/2020
Dominican Republic,Dominican Republic,72,0,2,22/03/2020 18:52,22/03/2020
North Macedonia,North Macedonia,70,0,0,22/03/2020 18:52,22/03/2020
Venezuela,Venezuela,70,0,0,22/03/2020 18:52,22/03/2020
New Zealand,New Zealand,67,0,0,22/03/2020 18:52,22/03/2020
Bosnia and Herzegovina,Bosnia and Herzegovina,64,0,0,22/03/2020 18:52,22/03/2020
Malta,Malta,64,0,0,22/03/2020 18:52,22/03/2020
Tunisia,Tunisia,60,0,1,22/03/2020 18:52,22/03/2020
Belarus,Belarus,69,15,0,22/03/2020 18:52,22/03/2020
Kazakstan,Kazakstan,54,0,0,22/03/2020 18:52,22/03/2020
Senegal,Senegal,56,5,0,22/03/2020 18:52,22/03/2020
,,51,0,0,22/03/2020 18:52,22/03/2020
Kampuchea (Cambodia ),Kampuchea (Cambodia ),51,1,0,22/03/2020 18:52,22/03/2020
Georgia,Georgia,47,1,0,22/03/2020 18:52,22/03/2020
Ukraine,Ukraine,47,0,3,22/03/2020 18:52,22/03/2020
Palestine,Palestine,59,17,0,22/03/2020 18:52,22/03/2020
Uzbekistan,Uzbekistan,41,0,0,22/03/2020 18:52,22/03/2020
Cameroon,Cameroon,40,0,0,22/03/2020 18:52,22/03/2020
Oman,Oman,55,17,0,22/03/2020 18:52,22/03/2020
Afghanistan,Afghanistan,34,0,0,22/03/2020 18:52,22/03/2020
Liechtenstein,Liechtenstein,34,0,0,22/03/2020 18:52,22/03/2020
Azerbaijan,Azerbaijan,44,10,1,22/03/2020 18:52,22/03/2020
Burkina Faso,Burkina Faso,40,5,2,22/03/2020 18:52,22/03/2020
Martinique,Martinique,32,0,0,22/03/2020 18:52,22/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,30,0,1,22/03/2020 18:52,22/03/2020
Reunion,Reunion,28,0,0,22/03/2020 18:52,22/03/2020
Nigeria,Nigeria,26,1,0,22/03/2020 18:52,22/03/2020
Honduras,Honduras,24,0,0,22/03/2020 18:52,22/03/2020
Paraguay,Paraguay,22,0,1,22/03/2020 18:52,22/03/2020
Cuba,Cuba,21,0,1,22/03/2020 18:52,22/03/2020
Ghana,Ghana,21,0,1,22/03/2020 18:52,22/03/2020
Bangladesh,Bangladesh,24,3,2,22/03/2020 18:52,22/03/2020
Monaco,Monaco,18,0,0,22/03/2020 18:52,22/03/2020
Mauritius,Mauritius,18,0,1,22/03/2020 18:52,22/03/2020
Guernsey,Guernsey,17,0,0,22/03/2020 18:52,22/03/2020
Republic of Rwanda,Republic of Rwanda,17,0,0,22/03/2020 18:52,22/03/2020
Guatemala,Guatemala,17,0,1,22/03/2020 18:52,22/03/2020
Bolivia,Bolivia,16,0,0,22/03/2020 18:52,22/03/2020
Togo,Togo,16,1,0,22/03/2020 18:52,22/03/2020
Jamaica,Jamaica,16,0,1,22/03/2020 18:52,22/03/2020
French Guiana,French Guiana,15,0,0,22/03/2020 18:52,22/03/2020
Puerto Rico,Puerto Rico,14,0,0,22/03/2020 18:52,22/03/2020
,,14,0,0,22/03/2020 18:52,22/03/2020
Ivory Coast,Ivory Coast,14,1,0,22/03/2020 18:52,22/03/2020
Guam,Guam,14,0,1,22/03/2020 18:52,22/03/2020
Maldives,Maldives,13,0,0,22/03/2020 18:52,22/03/2020
Bailiwick of Jersey,Bailiwick of Jersey,12,0,0,22/03/2020 18:52,22/03/2020
,,12,0,0,22/03/2020 18:52,22/03/2020
French Polynesia,French Polynesia,11,0,0,22/03/2020 18:52,22/03/2020
Mongolia,Mongolia,10,0,0,22/03/2020 18:52,22/03/2020
Gibraltar,Gibraltar,10,0,0,22/03/2020 18:52,22/03/2020
Trinidad and Tobago,Trinidad and Tobago,9,0,0,22/03/2020 18:52,22/03/2020
Ethiopia,Ethiopia,11,4,0,22/03/2020 18:52,22/03/2020
Kenya,Kenya,7,0,0,22/03/2020 18:52,22/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,6,0,0,22/03/2020 18:52,22/03/2020
Seychelles,Seychelles,6,0,0,22/03/2020 18:52,22/03/2020
Tanzania,Tanzania,6,0,0,22/03/2020 18:52,22/03/2020
Suriname,Suriname,5,0,0,22/03/2020 18:52,22/03/2020
,,5,0,0,22/03/2020 18:52,22/03/2020
Barbados,Barbados,5,0,0,22/03/2020 18:52,22/03/2020
Guyana,Guyana,5,0,1,22/03/2020 18:52,22/03/2020
Gabon,Gabon,5,0,1,22/03/2020 18:52,22/03/2020
Sint Maarten,Sint Maarten,4,0,0,22/03/2020 18:52,22/03/2020
Swaziland,Swaziland,4,0,0,22/03/2020 18:52,22/03/2020
Bahamas,Bahamas,4,0,0,22/03/2020 18:52,22/03/2020
,,4,0,0,22/03/2020 18:52,22/03/2020
,,4,0,0,22/03/2020 18:52,22/03/2020
Namibia,Namibia,3,0,0,22/03/2020 18:52,22/03/2020
Central African Republic,Central African Republic,3,0,0,22/03/2020 18:52,22/03/2020
,,3,0,0,22/03/2020 18:52,22/03/2020
,,3,0,0,22/03/2020 18:52,22/03/2020
Liberia,Liberia,3,0,0,22/03/2020 18:52,22/03/2020
,,3,0,0,22/03/2020 18:52,22/03/2020
Madagascar,Madagascar,3,0,0,22/03/2020 18:52,22/03/2020
Cayman Is,Cayman Is,3,0,1,22/03/2020 18:52,22/03/2020
Kingdom of Bhutan,Kingdom of Bhutan,2,0,0,22/03/2020 18:52,22/03/2020
Guinea,Guinea,2,0,0,22/03/2020 18:52,22/03/2020
The Islamic Republic of Mauritania,The Islamic Republic of Mauritania,2,0,0,22/03/2020 18:52,22/03/2020
,,2,0,0,22/03/2020 18:52,22/03/2020
St.Lucia,St.Lucia,2,0,0,22/03/2020 18:52,22/03/2020
Benin,Benin,2,0,0,22/03/2020 18:52,22/03/2020
,,2,0,0,22/03/2020 18:52,22/03/2020
Zimbabwe,Zimbabwe,2,0,0,22/03/2020 18:52,22/03/2020
,,2,0,0,22/03/2020 18:52,22/03/2020
,,2,0,0,22/03/2020 18:52,22/03/2020
Angola,Angola,2,0,0,22/03/2020 18:52,22/03/2020
Haiti,Haiti,2,0,0,22/03/2020 18:52,22/03/2020
Sudan,Sudan,2,0,1,22/03/2020 18:52,22/03/2020
Status Civitatis Vaticanae,Status Civitatis Vaticanae,1,0,0,22/03/2020 18:52,22/03/2020
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1,0,0,22/03/2020 18:52,22/03/2020
Antigua and Barbuda,Antigua and Barbuda,1,0,0,22/03/2020 18:52,22/03/2020
Gambia,Gambia,1,0,0,22/03/2020 18:52,22/03/2020
Somali,Somali,1,0,0,22/03/2020 18:52,22/03/2020
Nicaragua,Nicaragua,1,0,0,22/03/2020 18:52,22/03/2020
EI Salvador,EI Salvador,1,0,0,22/03/2020 18:52,22/03/2020
Djibouti,Djibouti,1,0,0,22/03/2020 18:52,22/03/2020
Fiji,Fiji,1,0,0,22/03/2020 18:52,22/03/2020
Niger,Niger,1,0,0,22/03/2020 18:52,22/03/2020
,,1,0,0,22/03/2020 18:52,22/03/2020
Chad,Chad,1,0,0,22/03/2020 18:52,22/03/2020
,,1,0,0,22/03/2020 18:52,22/03/2020
Uganda,Uganda,1,0,0,22/03/2020 18:52,22/03/2020
,,1,0,0,22/03/2020 18:52,22/03/2020
Papua New Cuinea,Papua New Cuinea,1,0,0,22/03/2020 18:52,22/03/2020
,,1,0,0,22/03/2020 18:52,22/03/2020
Nepal,Nepal,1,1,0,22/03/2020 18:52,22/03/2020
Belgium,Belgium,3401,290,75,22/03/2020 18:42,22/03/2020
Malaysia,Malaysia,1306,139,10,22/03/2020 18:42,22/03/2020
Cyprus,Cyprus,84,0,1,22/03/2020 18:33,22/03/2020
India,India,341,23,6,22/03/2020 18:09,22/03/2020
Afghanistan,Afghanistan,34,0,0,22/03/2020 18:09,22/03/2020
Iran,Iran,21638,7913,1685,22/03/2020 18:08,22/03/2020
Luxembourg,Luxembourg,798,0,8,22/03/2020 18:08,22/03/2020
Indonesia,Indonesia,514,9,48,22/03/2020 18:08,22/03/2020
Cameroon,Cameroon,40,0,0,22/03/2020 18:08,22/03/2020
Afghanistan,Afghanistan,34,0,0,22/03/2020 18:08,22/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,30,0,1,22/03/2020 18:08,22/03/2020
Mauritius,Mauritius,18,0,1,22/03/2020 18:08,22/03/2020
Iran,Iran,21638,7913,1685,22/03/2020 17:58,22/03/2020
Luxembourg,Luxembourg,798,0,8,22/03/2020 17:58,22/03/2020
Indonesia,Indonesia,514,9,48,22/03/2020 17:58,22/03/2020
Cameroon,Cameroon,40,0,0,22/03/2020 17:58,22/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,30,0,1,22/03/2020 17:58,22/03/2020
Nigeria,Nigeria,26,1,0,22/03/2020 17:58,22/03/2020
Mauritius,Mauritius,18,0,1,22/03/2020 17:58,22/03/2020
China,China,81562,72389,3267,22/03/2020 17:51,22/03/2020
Czech Republic,Czech Republic,1047,6,0,22/03/2020 17:51,22/03/2020
Nigeria,Nigeria,26,1,0,22/03/2020 17:51,22/03/2020
Mauritius,Mauritius,18,0,1,22/03/2020 17:51,22/03/2020
Czech Republic,Czech Republic,1047,6,0,22/03/2020 16:53,22/03/2020
Nigeria,Nigeria,26,1,0,22/03/2020 16:53,22/03/2020
Czech Republic,Czech Republic,1047,6,0,22/03/2020 16:50,22/03/2020
Guam,Guam,14,0,1,22/03/2020 16:50,22/03/2020
China,China,81518,72388,3267,22/03/2020 16:11,22/03/2020
United States of America,United States of America,26747,176,340,22/03/2020 16:10,22/03/2020
Germany,Germany,25247,209,83,22/03/2020 16:10,22/03/2020
Spain,Spain,24926,2125,1326,22/03/2020 16:10,22/03/2020
France,France,14459,1587,562,22/03/2020 16:10,22/03/2020
Iran,Iran,20610,7635,1556,22/03/2020 16:10,22/03/2020
Switzerland,Switzerland,6113,3,56,22/03/2020 16:10,22/03/2020
Korea,Korea,8897,2909,104,22/03/2020 16:10,22/03/2020
China,China,81502,72388,3267,22/03/2020 16:10,22/03/2020
United Kingdom,United Kingdom,5018,79,233,22/03/2020 16:10,22/03/2020
Netherlands,Netherlands,3631,0,136,22/03/2020 16:10,22/03/2020
Austria,Austria,2649,9,7,22/03/2020 16:10,22/03/2020
Belgium,Belgium,2815,263,67,22/03/2020 16:10,22/03/2020
Norway,Norway,2150,0,7,22/03/2020 16:10,22/03/2020
Sweden,Sweden,1746,17,20,22/03/2020 16:10,22/03/2020
Denmark,Denmark,1326,1,13,22/03/2020 16:10,22/03/2020
Canada,Canada,1330,11,20,22/03/2020 16:10,22/03/2020
Portugal,Portugal,1280,3,12,22/03/2020 16:10,22/03/2020
Brazil,Brazil,1128,0,18,22/03/2020 16:10,22/03/2020
Malaysia,Malaysia,1183,114,4,22/03/2020 16:10,22/03/2020
Australia,Australia,1098,27,7,22/03/2020 16:10,22/03/2020
Czech Republic,Czech Republic,995,6,0,22/03/2020 16:10,22/03/2020
Turkey,Turkey,947,0,21,22/03/2020 16:10,22/03/2020
Israel,Israel,883,15,1,22/03/2020 16:10,22/03/2020
Japan,Japan,1060,215,37,22/03/2020 16:10,22/03/2020
Ireland,Ireland,785,0,3,22/03/2020 16:10,22/03/2020
Pakistan,Pakistan,730,2,3,22/03/2020 16:10,22/03/2020
Luxembourg,Luxembourg,670,0,8,22/03/2020 16:10,22/03/2020
Thailand,Thailand,599,45,1,22/03/2020 16:10,22/03/2020
Chile,Chile,537,8,1,22/03/2020 16:10,22/03/2020
Poland,Poland,536,13,5,22/03/2020 16:10,22/03/2020
Finland,Finland,521,10,1,22/03/2020 16:10,22/03/2020
Greece,Greece,530,19,13,22/03/2020 16:10,22/03/2020
Iceland,Iceland,473,0,1,22/03/2020 16:10,22/03/2020
Qatar,Qatar,481,27,0,22/03/2020 16:10,22/03/2020
Indonesia,Indonesia,450,9,38,22/03/2020 16:10,22/03/2020
Saudi Arabia,Saudi Arabia,392,16,0,22/03/2020 16:10,22/03/2020
Ecuador,Ecuador,367,0,5,22/03/2020 16:10,22/03/2020
Philippines,Philippines,380,15,25,22/03/2020 16:10,22/03/2020
Slovenia,Slovenia,341,0,1,22/03/2020 16:10,22/03/2020
Peru,Peru,318,0,5,22/03/2020 16:10,22/03/2020
Estonia,Estonia,306,0,0,22/03/2020 16:10,22/03/2020
Singapore,Singapore,432,140,2,22/03/2020 16:10,22/03/2020
Russia,Russia,306,16,1,22/03/2020 16:10,22/03/2020
India,India,315,23,5,22/03/2020 16:10,22/03/2020
Romania,Romania,308,31,0,22/03/2020 16:10,22/03/2020
Mexico,Mexico,251,1,2,22/03/2020 16:10,22/03/2020
Diamond Princess Cruise Ship,Diamond Princess Cruise Ship,712,458,7,22/03/2020 16:10,22/03/2020
Egypt,Egypt,294,41,10,22/03/2020 16:10,22/03/2020
Panama,Panama,245,0,3,22/03/2020 16:10,22/03/2020
South Africa,South Africa,240,0,0,22/03/2020 16:10,22/03/2020
Argentina,Argentina,225,1,4,22/03/2020 16:10,22/03/2020
Lebanon,Lebanon,230,8,4,22/03/2020 16:10,22/03/2020
Colombia,Colombia,210,0,1,22/03/2020 16:10,22/03/2020
Bahrain,Bahrain,306,100,1,22/03/2020 16:10,22/03/2020
Slovakia,Slovakia,178,0,1,22/03/2020 16:10,22/03/2020
Republic of Serbia,Republic of Serbia,171,0,1,22/03/2020 16:10,22/03/2020
Bulgaria,Bulgaria,163,0,3,22/03/2020 16:10,22/03/2020
Armenia,Armenia,160,1,0,22/03/2020 16:10,22/03/2020
Kuwait,Kuwait,176,27,0,22/03/2020 16:10,22/03/2020
Iraq,Iraq,214,49,17,22/03/2020 16:10,22/03/2020
San Marino,San Marino,151,2,14,22/03/2020 16:10,22/03/2020
Uruguay,Uruguay,135,0,0,22/03/2020 16:10,22/03/2020
Croatia,Croatia,133,5,1,22/03/2020 16:10,22/03/2020
Latvia,Latvia,124,0,0,22/03/2020 16:10,22/03/2020
Costa Rica,Costa Rica,117,0,2,22/03/2020 16:10,22/03/2020
United Arab Emirates,United Arab Emirates,153,38,2,22/03/2020 16:10,22/03/2020
Algeria,Algeria,139,12,15,22/03/2020 16:10,22/03/2020
Jordan,Jordan,99,1,0,22/03/2020 16:10,22/03/2020
Hungary,Hungary,103,7,4,22/03/2020 16:10,22/03/2020
Morocco,Morocco,96,2,3,22/03/2020 16:10,22/03/2020
Andorra,Andorra,88,1,0,22/03/2020 16:10,22/03/2020
Cyprus,Cyprus,84,0,0,22/03/2020 16:10,22/03/2020
Lithuania,Lithuania,83,0,1,22/03/2020 16:10,22/03/2020
Brunei,Brunei,83,2,0,22/03/2020 16:10,22/03/2020
Faroe,Faroe,80,0,0,22/03/2020 16:10,22/03/2020
Moldova,Moldova,80,1,1,22/03/2020 16:10,22/03/2020
Vietnam,Vietnam,94,17,0,22/03/2020 16:10,22/03/2020
SriLanka,SriLanka,77,1,0,22/03/2020 16:10,22/03/2020
Albania,Albania,76,0,2,22/03/2020 16:10,22/03/2020
Dominican Republic,Dominican Republic,72,0,2,22/03/2020 16:10,22/03/2020
North Macedonia,North Macedonia,70,0,0,22/03/2020 16:10,22/03/2020
Venezuela,Venezuela,70,0,0,22/03/2020 16:10,22/03/2020
New Zealand,New Zealand,67,0,0,22/03/2020 16:10,22/03/2020
Bosnia and Herzegovina,Bosnia and Herzegovina,64,0,0,22/03/2020 16:10,22/03/2020
Malta,Malta,64,0,0,22/03/2020 16:10,22/03/2020
Tunisia,Tunisia,60,0,1,22/03/2020 16:10,22/03/2020
Belarus,Belarus,69,15,0,22/03/2020 16:10,22/03/2020
Kazakstan,Kazakstan,54,0,0,22/03/2020 16:10,22/03/2020
Senegal,Senegal,56,5,0,22/03/2020 16:10,22/03/2020
,,51,0,0,22/03/2020 16:10,22/03/2020
Kampuchea (Cambodia ),Kampuchea (Cambodia ),51,1,0,22/03/2020 16:10,22/03/2020
Georgia,Georgia,47,1,0,22/03/2020 16:10,22/03/2020
Ukraine,Ukraine,47,0,3,22/03/2020 16:10,22/03/2020
Palestine,Palestine,59,17,0,22/03/2020 16:10,22/03/2020
Uzbekistan,Uzbekistan,41,0,0,22/03/2020 16:10,22/03/2020
Oman,Oman,55,17,0,22/03/2020 16:10,22/03/2020
Liechtenstein,Liechtenstein,34,0,0,22/03/2020 16:10,22/03/2020
Azerbaijan,Azerbaijan,44,10,1,22/03/2020 16:10,22/03/2020
Burkina Faso,Burkina Faso,40,5,2,22/03/2020 16:10,22/03/2020
Martinique,Martinique,32,0,0,22/03/2020 16:10,22/03/2020
Reunion,Reunion,28,0,0,22/03/2020 16:10,22/03/2020
Cameroon,Cameroon,27,0,0,22/03/2020 16:10,22/03/2020
Afghanistan,Afghanistan,24,0,0,22/03/2020 16:10,22/03/2020
Honduras,Honduras,24,0,0,22/03/2020 16:10,22/03/2020
Nigeria,Nigeria,22,1,0,22/03/2020 16:10,22/03/2020
Paraguay,Paraguay,22,0,1,22/03/2020 16:10,22/03/2020
Cuba,Cuba,21,0,1,22/03/2020 16:10,22/03/2020
Ghana,Ghana,21,0,1,22/03/2020 16:10,22/03/2020
Bangladesh,Bangladesh,24,3,2,22/03/2020 16:10,22/03/2020
Monaco,Monaco,18,0,0,22/03/2020 16:10,22/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,18,0,0,22/03/2020 16:10,22/03/2020
Guernsey,Guernsey,17,0,0,22/03/2020 16:10,22/03/2020
Republic of Rwanda,Republic of Rwanda,17,0,0,22/03/2020 16:10,22/03/2020
Guatemala,Guatemala,17,0,1,22/03/2020 16:10,22/03/2020
Bolivia,Bolivia,16,0,0,22/03/2020 16:10,22/03/2020
Togo,Togo,16,1,0,22/03/2020 16:10,22/03/2020
Jamaica,Jamaica,16,0,1,22/03/2020 16:10,22/03/2020
French Guiana,French Guiana,15,0,0,22/03/2020 16:10,22/03/2020
Puerto Rico,Puerto Rico,14,0,0,22/03/2020 16:10,22/03/2020
,,14,0,0,22/03/2020 16:10,22/03/2020
Ivory Coast,Ivory Coast,14,1,0,22/03/2020 16:10,22/03/2020
Guam,Guam,14,0,1,22/03/2020 16:10,22/03/2020
Mauritius,Mauritius,14,0,1,22/03/2020 16:10,22/03/2020
Maldives,Maldives,13,0,0,22/03/2020 16:10,22/03/2020
Bailiwick of Jersey,Bailiwick of Jersey,12,0,0,22/03/2020 16:10,22/03/2020
,,12,0,0,22/03/2020 16:10,22/03/2020
French Polynesia,French Polynesia,11,0,0,22/03/2020 16:10,22/03/2020
Mongolia,Mongolia,10,0,0,22/03/2020 16:10,22/03/2020
Gibraltar,Gibraltar,10,0,0,22/03/2020 16:10,22/03/2020
Trinidad and Tobago,Trinidad and Tobago,9,0,0,22/03/2020 16:10,22/03/2020
Ethiopia,Ethiopia,11,4,0,22/03/2020 16:10,22/03/2020
Kenya,Kenya,7,0,0,22/03/2020 16:10,22/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,6,0,0,22/03/2020 16:10,22/03/2020
Seychelles,Seychelles,6,0,0,22/03/2020 16:10,22/03/2020
Tanzania,Tanzania,6,0,0,22/03/2020 16:10,22/03/2020
Suriname,Suriname,5,0,0,22/03/2020 16:10,22/03/2020
,,5,0,0,22/03/2020 16:10,22/03/2020
Barbados,Barbados,5,0,0,22/03/2020 16:10,22/03/2020
Guyana,Guyana,5,0,1,22/03/2020 16:10,22/03/2020
Gabon,Gabon,5,0,1,22/03/2020 16:10,22/03/2020
Sint Maarten,Sint Maarten,4,0,0,22/03/2020 16:10,22/03/2020
Swaziland,Swaziland,4,0,0,22/03/2020 16:10,22/03/2020
Bahamas,Bahamas,4,0,0,22/03/2020 16:10,22/03/2020
,,4,0,0,22/03/2020 16:10,22/03/2020
,,4,0,0,22/03/2020 16:10,22/03/2020
Namibia,Namibia,3,0,0,22/03/2020 16:10,22/03/2020
Central African Republic,Central African Republic,3,0,0,22/03/2020 16:10,22/03/2020
,,3,0,0,22/03/2020 16:10,22/03/2020
,,3,0,0,22/03/2020 16:10,22/03/2020
Liberia,Liberia,3,0,0,22/03/2020 16:10,22/03/2020
,,3,0,0,22/03/2020 16:10,22/03/2020
Madagascar,Madagascar,3,0,0,22/03/2020 16:10,22/03/2020
Cayman Is,Cayman Is,3,0,1,22/03/2020 16:10,22/03/2020
Kingdom of Bhutan,Kingdom of Bhutan,2,0,0,22/03/2020 16:10,22/03/2020
Guinea,Guinea,2,0,0,22/03/2020 16:10,22/03/2020
The Islamic Republic of Mauritania,The Islamic Republic of Mauritania,2,0,0,22/03/2020 16:10,22/03/2020
,,2,0,0,22/03/2020 16:10,22/03/2020
St.Lucia,St.Lucia,2,0,0,22/03/2020 16:10,22/03/2020
Benin,Benin,2,0,0,22/03/2020 16:10,22/03/2020
,,2,0,0,22/03/2020 16:10,22/03/2020
Zimbabwe,Zimbabwe,2,0,0,22/03/2020 16:10,22/03/2020
,,2,0,0,22/03/2020 16:10,22/03/2020
,,2,0,0,22/03/2020 16:10,22/03/2020
Angola,Angola,2,0,0,22/03/2020 16:10,22/03/2020
Haiti,Haiti,2,0,0,22/03/2020 16:10,22/03/2020
Sudan,Sudan,2,0,1,22/03/2020 16:10,22/03/2020
Status Civitatis Vaticanae,Status Civitatis Vaticanae,1,0,0,22/03/2020 16:10,22/03/2020
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1,0,0,22/03/2020 16:10,22/03/2020
Antigua and Barbuda,Antigua and Barbuda,1,0,0,22/03/2020 16:10,22/03/2020
Gambia,Gambia,1,0,0,22/03/2020 16:10,22/03/2020
Somali,Somali,1,0,0,22/03/2020 16:10,22/03/2020
Nicaragua,Nicaragua,1,0,0,22/03/2020 16:10,22/03/2020
EI Salvador,EI Salvador,1,0,0,22/03/2020 16:10,22/03/2020
Djibouti,Djibouti,1,0,0,22/03/2020 16:10,22/03/2020
Fiji,Fiji,1,0,0,22/03/2020 16:10,22/03/2020
Niger,Niger,1,0,0,22/03/2020 16:10,22/03/2020
,,1,0,0,22/03/2020 16:10,22/03/2020
Chad,Chad,1,0,0,22/03/2020 16:10,22/03/2020
,,1,0,0,22/03/2020 16:10,22/03/2020
Uganda,Uganda,1,0,0,22/03/2020 16:10,22/03/2020
,,1,0,0,22/03/2020 16:10,22/03/2020
Papua New Cuinea,Papua New Cuinea,1,0,0,22/03/2020 16:10,22/03/2020
,,1,0,0,22/03/2020 16:10,22/03/2020
Nepal,Nepal,1,1,0,22/03/2020 16:10,22/03/2020
United States of America,United States of America,26747,176,340,22/03/2020 16:06,22/03/2020
Germany,Germany,25247,209,83,22/03/2020 16:06,22/03/2020
Spain,Spain,24926,2125,1326,22/03/2020 16:06,22/03/2020
France,France,14459,1587,562,22/03/2020 16:06,22/03/2020
Iran,Iran,20610,7635,1556,22/03/2020 16:06,22/03/2020
Switzerland,Switzerland,6113,3,56,22/03/2020 16:06,22/03/2020
Korea,Korea,8897,2909,104,22/03/2020 16:06,22/03/2020
United Kingdom,United Kingdom,5018,79,233,22/03/2020 16:06,22/03/2020
Netherlands,Netherlands,3631,0,136,22/03/2020 16:06,22/03/2020
Austria,Austria,2649,9,7,22/03/2020 16:06,22/03/2020
Belgium,Belgium,2815,263,67,22/03/2020 16:06,22/03/2020
Norway,Norway,2150,0,7,22/03/2020 16:06,22/03/2020
Sweden,Sweden,1746,17,20,22/03/2020 16:06,22/03/2020
Denmark,Denmark,1326,1,13,22/03/2020 16:06,22/03/2020
Canada,Canada,1330,11,20,22/03/2020 16:06,22/03/2020
Portugal,Portugal,1280,3,12,22/03/2020 16:06,22/03/2020
Brazil,Brazil,1128,0,18,22/03/2020 16:06,22/03/2020
Malaysia,Malaysia,1183,114,4,22/03/2020 16:06,22/03/2020
Australia,Australia,1098,27,7,22/03/2020 16:06,22/03/2020
Czech Republic,Czech Republic,995,6,0,22/03/2020 16:06,22/03/2020
Turkey,Turkey,947,0,21,22/03/2020 16:06,22/03/2020
Israel,Israel,883,15,1,22/03/2020 16:06,22/03/2020
Japan,Japan,1060,215,37,22/03/2020 16:06,22/03/2020
Ireland,Ireland,785,0,3,22/03/2020 16:06,22/03/2020
Pakistan,Pakistan,730,2,3,22/03/2020 16:06,22/03/2020
Luxembourg,Luxembourg,670,0,8,22/03/2020 16:06,22/03/2020
Thailand,Thailand,599,45,1,22/03/2020 16:06,22/03/2020
Chile,Chile,537,8,1,22/03/2020 16:06,22/03/2020
Poland,Poland,536,13,5,22/03/2020 16:06,22/03/2020
Finland,Finland,521,10,1,22/03/2020 16:06,22/03/2020
Greece,Greece,530,19,13,22/03/2020 16:06,22/03/2020
Iceland,Iceland,473,0,1,22/03/2020 16:06,22/03/2020
Qatar,Qatar,481,27,0,22/03/2020 16:06,22/03/2020
Indonesia,Indonesia,450,9,38,22/03/2020 16:06,22/03/2020
Saudi Arabia,Saudi Arabia,392,16,0,22/03/2020 16:06,22/03/2020
Ecuador,Ecuador,367,0,5,22/03/2020 16:06,22/03/2020
Philippines,Philippines,380,15,25,22/03/2020 16:06,22/03/2020
Slovenia,Slovenia,341,0,1,22/03/2020 16:06,22/03/2020
Peru,Peru,318,0,5,22/03/2020 16:06,22/03/2020
Estonia,Estonia,306,0,0,22/03/2020 16:06,22/03/2020
Singapore,Singapore,432,140,2,22/03/2020 16:06,22/03/2020
Russia,Russia,306,16,1,22/03/2020 16:06,22/03/2020
India,India,315,23,5,22/03/2020 16:06,22/03/2020
Romania,Romania,308,31,0,22/03/2020 16:06,22/03/2020
Mexico,Mexico,251,1,2,22/03/2020 16:06,22/03/2020
Egypt,Egypt,294,41,10,22/03/2020 16:06,22/03/2020
Panama,Panama,245,0,3,22/03/2020 16:06,22/03/2020
South Africa,South Africa,240,0,0,22/03/2020 16:06,22/03/2020
Argentina,Argentina,225,1,4,22/03/2020 16:06,22/03/2020
Lebanon,Lebanon,230,8,4,22/03/2020 16:06,22/03/2020
Colombia,Colombia,210,0,1,22/03/2020 16:06,22/03/2020
Bahrain,Bahrain,306,100,1,22/03/2020 16:06,22/03/2020
Slovakia,Slovakia,178,0,1,22/03/2020 16:06,22/03/2020
Republic of Serbia,Republic of Serbia,171,0,1,22/03/2020 16:06,22/03/2020
Bulgaria,Bulgaria,163,0,3,22/03/2020 16:06,22/03/2020
Armenia,Armenia,160,1,0,22/03/2020 16:06,22/03/2020
Kuwait,Kuwait,176,27,0,22/03/2020 16:06,22/03/2020
Iraq,Iraq,214,49,17,22/03/2020 16:06,22/03/2020
San Marino,San Marino,151,2,14,22/03/2020 16:06,22/03/2020
Uruguay,Uruguay,135,0,0,22/03/2020 16:06,22/03/2020
Croatia,Croatia,133,5,1,22/03/2020 16:06,22/03/2020
Latvia,Latvia,124,0,0,22/03/2020 16:06,22/03/2020
Costa Rica,Costa Rica,117,0,2,22/03/2020 16:06,22/03/2020
United Arab Emirates,United Arab Emirates,153,38,2,22/03/2020 16:06,22/03/2020
Algeria,Algeria,139,12,15,22/03/2020 16:06,22/03/2020
Jordan,Jordan,99,1,0,22/03/2020 16:06,22/03/2020
Hungary,Hungary,103,7,4,22/03/2020 16:06,22/03/2020
